LOTE,MUNICÍPIO,CLASSIFICAÇÃO,PÁTIO,FAB/MOD,UF,MARCA,MODELO,TIPO,COR,NOME_POPULAR,AVALIAÇÃO,Lance Inicial,Valor da Arrematação
23120371,Cáceres,Conservado,,HONDA/CG 150 FAN ESI,MT,HONDA,CG 150 FAN ESI,Moto,PRATA,CG 150,"R$8.791,00","R$2.637,30","R$5.237,30"
23120372,Cáceres,Conservado,,HONDA/CG 150 TITAN ESD,MT,HONDA,CG 150 TITAN ESD,Moto,CINZA,CG 150,"R$8.493,00","R$2.547,90","R$2.647,90"
23120373,Cáceres,Conservado,,HONDA/CG 150 TITAN KS,MT,HONDA,CG 150 TITAN KS,Moto,VERMELHA,CG 150,"R$7.206,00","R$2.161,80",
23120374,Cáceres,Conservado,,HONDA/CG 160 START,MT,HONDA,CG 160 START,Moto,PRETA,CG 160,"R$13.197,00","R$3.959,10","R$6.859,10"
23120375,Cáceres,Conservado,,JTA/SUZUKI EN125 YES,MT,JTA,SUZUKI EN125 YES,Moto,PRETA,EN 125,"R$5.430,00","R$1.629,00",
23120376,Cáceres,Conservado,,JTA/SUZUKI EN125 YES SE,MT,JTA,SUZUKI EN125 YES SE,Moto,LARANJA,EN 125,"R$5.723,00","R$1.716,90","R$1.716,90"
23120377,Cáceres,Conservado,,JTA/SUZUKI INTRUDER 125,MT,JTA,SUZUKI INTRUDER 125,Moto,VERMELHA,INTRUDER,"R$6.350,00","R$1.905,00",
23120378,Cáceres,Conservado,,TRAXX/JL125-9,MT,TRAXX,JL125-9,Moto,PRATA,JL125,"R$3.037,00","R$911,10",
23120379,Cáceres,Conservado,,YAMAHA/FACTOR YBR125 ED,MT,YAMAHA,FACTOR YBR125 ED,Moto,PRETA,FACTOR,"R$6.382,00","R$1.914,60","R$1.914,60"
23120380,Cáceres,Conservado,,YAMAHA/LANDER XTZ250,MT,YAMAHA,LANDER XTZ250,Moto,BRANCA,LANDER,"R$10.761,00","R$3.228,30","R$6.328,30"
23120382,Cáceres,Conservado,,HONDA/BIZ 100 ES,MT,HONDA,BIZ 100 ES,Moto,PRETA,BIZ,"R$10.038,00","R$3.011,40",
23120383,Cáceres,Conservado,,HONDA/BIZ 125,MT,HONDA,BIZ 125,Moto,BRANCA,BIZ,"R$15.497,00","R$4.649,10","R$8.949,10"
23120384,Cáceres,Conservado,,HONDA/BIZ 125 ES,MT,HONDA,BIZ 125 ES,Moto,CINZA,BIZ,"R$7.484,00","R$2.245,20","R$3.600,00"
23120385,Cáceres,Conservado,,HONDA/C100 BIZ,MT,HONDA,C100 BIZ,Moto,VERMELHA,BIZ,"R$6.268,00","R$1.880,40","R$1.980,40"
23120386,Cáceres,Conservado,,YAMAHA/CRYPTON T105E,MT,YAMAHA,CRYPTON T105E,Moto,PRETA,CRYPTON,"R$3.117,00","R$935,10",
23120388,Cáceres,Conservado,,CHEV/ONIX PLUS JOY,RO,GM,ONIX PLUS JOY,Carro,CINZA,ONIX,"R$55.775,00","R$16.732,50","R$41.200,00"
23120389,Cáceres,Conservado,,VW/GOL SPECIAL,SP,VW,GOL SPECIAL,Carro,BRANCA,GOL,"R$13.045,00","R$3.913,50","R$4.313,50"
23220392,Poconé,Conservado,,CHEVROLET/CLASSIC LS,MT,GM,CLASSIC LS,Carro,PRETA,CLASSIC,"R$22.341,00","R$6.702,30","R$8.500,00"
23220393,Poconé,Conservado,,CITROEN/PICASSO II16GLXF,MT,CITROEN,PICASSO II16GLXF,Carro,PRETA,PICASSO,"R$19.804,00","R$5.941,20",
23220396,Poconé,Conservado,,VW/VOYAGE 1.0L MC4,MT,VW,VOYAGE 1.0L MC4,Carro,PRETA,VOYAGE,"R$50.006,00","R$15.001,80","R$30.601,80"
23220398,Poconé,Conservado,,HONDA/CG 125 FAN,MT,HONDA,CG 125 FAN,Moto,PRETA,CG 125,"R$5.507,00","R$1.652,10","R$1.800,00"
23220400,Poconé,Conservado,,HONDA/CG 125 TITAN ES,MT,HONDA,CG 125 TITAN ES,Moto,AZUL,CG 125,"R$6.451,00","R$1.935,30",
23220401,Poconé,Conservado,,HONDA/NXR150 BROS ESD,MT,HONDA,NXR150 BROS ESD,Moto,LARANJA,BROS,"R$10.980,00","R$3.294,00","R$6.000,00"
23220402,Poconé,Conservado,,YAMAHA/YBR 125K,MT,YAMAHA,YBR 125K,Moto,PRETA,YBR 125,"R$5.180,00","R$1.554,00",
23220403,Poconé,Conservado,,HYUNDAI/CRETA 16A ACTION,PR,HYUNDAI,CRETA 16A ACTION,Carro,PRATA,CRETA,"R$96.747,00","R$29.024,10","R$77.400,00"
24120406,Pontes e Licentia,Conservado,,YAMAHA/YBR125 FACTOR K1,MS,YAMAHA,YBR125 FACTOR K1,Moto,PRETA,FACTOR,"R$7.232,00","R$2.169,60",
24120408,Pontes e Licentia,Conservado,,FIAT/PALIO FIRE ECONOMY,MT,FIAT,PALIO FIRE ECONOMY,Carro,BRANCA,PALIO,"R$26.348,00","R$7.904,40","R$7.904,40"
24120409,Pontes e Licentia,Conservado,,FIAT/PALIO FIRE FLEX,MT,FIAT,PALIO FIRE FLEX,Carro,BRANCA,PALIO,"R$26.574,00","R$7.972,20","R$7.972,20"
24120411,Pontes e Licentia,Conservado,,GM/CELTA,MT,GM,CELTA,Carro,BRANCA,CELTA,"R$12.038,00","R$3.611,40",
24120412,Pontes e Licentia,Conservado,,VW/GOL CLI,MT,VW,GOL CLI,Carro,PRATA,GOL,"R$14.078,00","R$4.223,40",
24120413,Pontes e Licentia,Conservado,,HONDA/CB 300R,MT,HONDA,CB 300R,Moto,AMARELA,CB 300,"R$9.317,00","R$2.795,10","R$3.295,10"
24120414,Pontes e Licentia,Conservado,,HONDA/CB 300R,MT,HONDA,CB 300R,Moto,VERMELHA,CB 300,"R$9.571,00","R$2.871,30","R$2.971,30"
24120415,Pontes e Licentia,Conservado,,HONDA/CB 300R,MT,HONDA,CB 300R,Moto,PRETA,CB 300,"R$10.778,00","R$3.233,40","R$3.733,40"
24120417,Pontes e Licentia,Conservado,,HONDA/CG 125 FAN ES,MT,HONDA,CG 125 FAN ES,Moto,PRETA,CG 125,"R$7.538,00","R$2.261,40","R$2.600,00"
24120418,Pontes e Licentia,Conservado,,HONDA/CG 125 FAN ES,MT,HONDA,CG 125 FAN ES,Moto,ROXA,CG 125,"R$7.538,00","R$2.261,40","R$2.261,40"
24120419,Pontes e Licentia,Conservado,,HONDA/CG 125 TITAN,MT,HONDA,CG 125 TITAN,Moto,VERMELHA,CG 125,"R$5.097,00","R$1.529,10",
24120420,Pontes e Licentia,Conservado,,HONDA/CG 125 TITAN,MT,HONDA,CG 125 TITAN,Moto,VERMELHA,CG 125,"R$5.097,00","R$1.529,10",
24120422,Pontes e Licentia,Conservado,,HONDA/CG 125 TITAN KS,MT,HONDA,CG 125 TITAN KS,Moto,AZUL,CG 125,"R$5.725,00","R$1.717,50",
24120423,Pontes e Licentia,Conservado,,HONDA/CG 125 TITAN KS,MT,HONDA,CG 125 TITAN KS,Moto,VERMELHA,CG 125,"R$5.923,00","R$1.776,90","R$1.776,90"
24120425,Pontes e Licentia,Conservado,,HONDA/CG 160 TITAN,MT,HONDA,CG 160 TITAN,Moto,PRATA,CG 160,"R$14.620,00","R$4.386,00","R$5.286,00"
24120426,Pontes e Licentia,Conservado,,HONDA/NXR 160 BROS,MT,HONDA,NXR 160 BROS,Moto,PRETA,BROS,"R$14.071,00","R$4.221,30",
24120428,Pontes e Licentia,Conservado,,HONDA/NXR150 BROS ESD,MT,HONDA,NXR150 BROS ESD,Moto,PRETA,BROS,"R$11.758,00","R$3.527,40","R$3.927,40"
24120430,Pontes e Licentia,Conservado,,JTA-SUZUKI/GSR1501,MT,JTA,GSR1501,Moto,VERMELHA,GSR150,"R$6.794,00","R$2.038,20",
24120431,Pontes e Licentia,Conservado,,JTA/SUZUKI EN125 YES,MT,JTA,SUZUKI EN125 YES,Moto,VERMELHA,EN 125,"R$5.143,00","R$1.542,90",
24120433,Pontes e Licentia,Conservado,,YAMAHA/YBR 125K,MT,YAMAHA,YBR 125K,Moto,PRETA,YBR 125,"R$5.180,00","R$1.554,00",
24120434,Pontes e Licentia,Conservado,,HONDA/C100 BIZ ES,MT,HONDA,C100 BIZ ES,Moto,PRETA,BIZ,"R$6.268,00","R$1.880,40","R$2.080,40"
24120435,Pontes e Licentia,Conservado,,FIAT/SIENA FIRE FLEX,PR,FIAT,SIENA FIRE FLEX,Carro,BRANCA,SIENA,"R$22.279,00","R$6.683,70","R$6.683,70"
24120437,Pontes e Licentia,Conservado,,VW/GOL I,RO,VW,GOL I,Carro,PRETA,GOL,"R$10.102,00","R$3.030,60",
24120438,Pontes e Licentia,Conservado,,HONDA/CG 150 TITAN KS,RO,HONDA,CG 150 TITAN KS,Moto,PRETA,CG 150,"R$7.030,00","R$2.109,00",
24120439,Pontes e Licentia,Conservado,,VW/GOL 16V PLUS,SP,VW,GOL 16V PLUS,Carro,VERDE,GOL,"R$10.717,00","R$3.215,10",
24220444,Comodoro,Conservado,,PEUGEOT/207HB XLINE,MT,PEUGEOT,207HB XLINE,Carro,PRATA,207,"R$18.145,00","R$5.443,50","R$5.643,50"
24220446,Comodoro,Conservado,,DAFRA/NEXT 250,MT,DAFRA,NEXT 250,Moto,BRANCA,NEXT 250,"R$8.253,00","R$2.475,90",
24220447,Comodoro,Conservado,,HONDA/CG 160 START,MT,HONDA,CG 160 START,Moto,VERMELHA,CG 160,"R$12.236,00","R$3.670,80","R$4.270,80"
24220448,Comodoro,Conservado,,HONDA/CG150 START,MT,HONDA,CG150 START,Moto,VERMELHA,CG 150,"R$9.979,00","R$2.993,70","R$3.693,70"
24220449,Comodoro,Conservado,,HONDA/CG 150 TITAN ESD,RO,HONDA,CG 150 TITAN ESD,Moto,PRETA,CG 150,"R$7.795,00","R$2.338,50","R$2.538,50"
24220450,Comodoro,Conservado,,HONDA/CG 150 TITAN KS,RO,HONDA,CG 150 TITAN KS,Moto,VERMELHA,CG 150,"R$7.781,00","R$2.334,30","R$2.334,30"
25120452,Primavera do Leste,Conservado,,VW/SAVEIRO 1.6 CE CROSS,GO,VW,SAVEIRO 1.6 CE CROSS,Carro,BRANCA,SAVEIRO,"R$47.466,00","R$14.239,80","R$26.439,80"
25120453,Primavera do Leste,Conservado,,HONDA/CG 125 FAN ES,GO,HONDA,CG 125 FAN ES,Moto,VERMELHA,CG 125,"R$7.343,00","R$2.202,90","R$2.502,90"
25120454,Primavera do Leste,Conservado,,I/PORSCHE CAYENNE S,MS,PORSCHE,PORSCHE CAYENNE S,Carro,PRETA,CAYENNE,"R$87.748,00","R$26.324,40","R$35.524,40"
25120455,Primavera do Leste,Conservado,,HONDA/XRE 300,MS,HONDA,XRE 300,Moto,PRETA,XRE 300,"R$19.782,00","R$5.934,60","R$8.634,60"
25120457,Primavera do Leste,Conservado,,FIAT/DOBLO ELX 1.8 FLEX,MT,FIAT,DOBLO ELX 1.8 FLEX,Carro,CINZA,DOBLO,"R$29.536,00","R$8.860,80","R$16.400,00"
25120460,Primavera do Leste,Conservado,,FORD/FIESTA GL,MT,FORD,FIESTA GL,Carro,PRATA,FIESTA,"R$10.139,00","R$3.041,70","R$3.241,70"
25120462,Primavera do Leste,Conservado,,VW/GOL 10001,MT,VW,GOL 10001,Carro,PRETA,GOL,"R$9.678,00","R$2.903,40","R$2.903,40"
25120463,Primavera do Leste,Conservado,,VW/GOL CL 1.6 MI,MT,VW,GOL CL 1.6 MI,Carro,AZUL,GOL,"R$11.672,00","R$3.501,60",
25120467,Primavera do Leste,Conservado,,HONDA/CB 300R,MT,HONDA,CB 300R,Moto,PRATA,CB 300,"R$12.800,00","R$3.840,00","R$5.340,00"
25120468,Primavera do Leste,Conservado,,HONDA/CG 125 FAN,MT,HONDA,CG 125 FAN,Moto,PRATA,CG 125,"R$5.235,00","R$1.570,50","R$1.870,50"
25120469,Primavera do Leste,Conservado,,HONDA/CG 125 FAN ES,MT,HONDA,CG 125 FAN ES,Moto,AZUL,CG 125,"R$7.163,00","R$2.148,90","R$2.748,90"
25120470,Primavera do Leste,Conservado,,HONDA/CG 125 TITAN,MT,HONDA,CG 125 TITAN,Moto,PRATA,CG 125,"R$4.526,00","R$1.357,80",
25120471,Primavera do Leste,Conservado,,HONDA/CG 125 TITAN ES,MT,HONDA,CG 125 TITAN ES,Moto,VERMELHA,CG 125,"R$6.293,00","R$1.887,90","R$1.987,90"
25120475,Primavera do Leste,Conservado,,HONDA/CG 125 TITAN KS,MT,HONDA,CG 125 TITAN KS,Moto,PRATA,CG 125,"R$5.725,00","R$1.717,50",
25120477,Primavera do Leste,Conservado,,HONDA/CG 150 FAN ESI,MT,HONDA,CG 150 FAN ESI,Moto,VERMELHA,CG 150,"R$8.327,00","R$2.498,10","R$4.798,10"
25120478,Primavera do Leste,Conservado,,HONDA/CG 150 TITAN ES,MT,HONDA,CG 150 TITAN ES,Moto,VERMELHA,CG 150,"R$6.884,00","R$2.065,20","R$2.065,20"
25120480,Primavera do Leste,Conservado,,HONDA/CG 150 TITAN ESD,MT,HONDA,CG 150 TITAN ESD,Moto,VERMELHA,CG 150,"R$8.190,00","R$2.457,00","R$2.457,00"
25120481,Primavera do Leste,Conservado,,HONDA/CG 150 TITAN EX,MT,HONDA,CG 150 TITAN EX,Moto,PRETA,CG 150,"R$9.641,00","R$2.892,30","R$4.992,30"
25120483,Primavera do Leste,Conservado,,HONDA/NX-4 FALCON,MT,HONDA,NX-4 FALCON,Moto,PRATA,FALCON,"R$14.440,00","R$4.332,00","R$5.232,00"
25120484,Primavera do Leste,Conservado,,JTA/SUZUKI INTRUDER 125,MT,JTA,SUZUKI INTRUDER 125,Moto,PRETA,INTRUDER,"R$6.195,00","R$1.858,50",
25120485,Primavera do Leste,Conservado,,YAMAHA/FAZER250 BLUEFLEX,MT,YAMAHA,FAZER250 BLUEFLEX,Moto,VERMELHA,FAZER,"R$15.014,00","R$4.504,20","R$6.600,00"
25120486,Primavera do Leste,Conservado,,YAMAHA/YBR 125K,MT,YAMAHA,YBR 125K,Moto,PRETA,YBR 125,"R$5.180,00","R$1.554,00",
25120487,Primavera do Leste,Conservado,,HONDA/BIZ 125 ES,MT,HONDA,BIZ 125 ES,Moto,VERMELHA,BIZ,"R$7.484,00","R$2.245,20","R$3.445,20"
25120488,Primavera do Leste,Conservado,,HONDA/BIZ 125 ES,MT,HONDA,BIZ 125 ES,Moto,VERMELHA,BIZ,"R$10.154,00","R$3.046,20","R$5.646,20"
25120489,Primavera do Leste,Conservado,,HONDA/BIZ 125 KS,MT,HONDA,BIZ 125 KS,Moto,VERMELHA,BIZ,"R$7.876,00","R$2.362,80","R$3.462,80"
25120490,Primavera do Leste,Conservado,,HONDA/C100 BIZ ES,MT,HONDA,C100 BIZ ES,Moto,VERMELHA,BIZ,"R$6.438,00","R$1.931,40","R$2.731,40"
25120491,Primavera do Leste,Conservado,,YAMAHA/CRYPTON T105E,MT,YAMAHA,CRYPTON T105E,Moto,AZUL,CRYPTON,"R$2.379,00","R$713,70","R$1.513,70"
25220494,Campo Verde,Conservado,,VW/VOYAGE 1.6 TREND,GO,VW,VOYAGE 1.6 TREND,Carro,PRATA,VOYAGE,"R$27.744,00","R$8.323,20","R$8.523,20"
25220495,Campo Verde,Conservado,,FIAT/STRADA WORKING,MS,FIAT,STRADA WORKING,Carro,BRANCA,STRADA,"R$61.570,00","R$18.471,00","R$28.471,00"
25220499,Campo Verde,Conservado,,I/VW SPACEFOX COMFORT,MT,VW,VW SPACEFOX COMFORT,Carro,CINZA,SPACEFOX,"R$28.486,00","R$8.545,80","R$11.545,80"
25220500,Campo Verde,Conservado,,VW/GOL 1.0 GIV,MT,VW,GOL 1.0 GIV,Carro,CINZA,GOL,"R$31.441,00","R$9.432,30","R$9.432,30"
25220501,Campo Verde,Conservado,,VW/GOL SERIE OURO,MT,VW,GOL SERIE OURO,Carro,CINZA,GOL,"R$11.043,00","R$3.312,90",
25220503,Campo Verde,Conservado,,VW/PARATI ATLANTA 1.8,MT,VW,PARATI ATLANTA 1.8,Carro,PRATA,PARATI,"R$19.529,00","R$5.858,70",
25220505,Campo Verde,Conservado,,HONDA/CB 300R,MT,HONDA,CB 300R,Moto,VERMELHA,CB 300,"R$12.800,00","R$3.840,00","R$5.640,00"
25220506,Campo Verde,Conservado,,HONDA/CG 125 FAN,MT,HONDA,CG 125 FAN,Moto,CINZA,CG 125,"R$5.507,00","R$1.652,10","R$2.952,10"
25220508,Campo Verde,Conservado,,HONDA/XR 250 TORNADO,MT,HONDA,XR 250 TORNADO,Moto,VERMELHA,XR 250,"R$9.177,00","R$2.753,10","R$3.853,10"
25220510,Campo Verde,Conservado,,IMP/REB BOΝΑΝΟ SRFMN TE,BA,IMP,REB BOΝΑΝΟ SRFMN TE,Carro,BRANCA,BONANO,"R$40.000,00","R$12.000,00","R$19.500,00"
25220512,Campo Verde,Conservado,,HONDA/CG 125 FAN ES,PR,HONDA,CG 125 FAN ES,Moto,PRETA,CG 125,"R$7.538,00","R$2.261,40","R$3.561,40"
26120515,Sorriso,Conservado,,M.BENZ/LS 1634,BA,M.BENZ,LS 1634,Caminhão,BRANCA,LS,"R$171.229,00","R$51.368,70","R$54.368,70"
26120518,Sorriso,Conservado,,SCANIA/R 480 A6X4,MS,SCANIA,R 480 A6X4,Caminhão,BRANCA,R 480,"R$345.465,00","R$103.639,50","R$136.000,00"
26120520,Sorriso,Conservado,,CHEVROLET/CLASSIC,MT,GM,CLASSIC,Carro,PRATA,CLASSIC,"R$20.375,00","R$6.112,50","R$14.512,50"
26120521,Sorriso,Conservado,,CHEVROLET/ONIX 1.0MT LS,MT,GM,ONIX 1.0MT LS,Carro,BRANCA,ONIX,"R$42.554,00","R$12.766,20","R$21.566,20"
26120522,Sorriso,Conservado,,FIAT/PALIO FIRE ECONOMY,MT,FIAT,PALIO FIRE ECONOMY,Carro,BRANCA,PALIO,"R$28.377,00","R$8.513,10",
26120523,Sorriso,Conservado,,FIAT/UNO ELECTRONIC,MT,FIAT,UNO ELECTRONIC,Carro,BRANCA,UNO,"R$8.944,00","R$2.683,20","R$4.683,20"
26120527,Sorriso,Conservado,,FORD/FIESTA SEDAN1.6FLEX,MT,FORD,FIESTA SEDAN1.6FLEX,Carro,PRETA,FIESTA,"R$19.666,00","R$5.899,80","R$6.499,80"
26120528,Sorriso,Conservado,,GM/CELTA,MT,GM,CELTA,Carro,PRETA,CELTA,"R$13.148,00","R$3.944,40",
26120531,Sorriso,Conservado,,HONDA/CIVIC LXS FLEX,MT,HONDA,CIVIC LXS FLEX,Carro,PRETA,CIVIC,"R$41.361,00","R$12.408,30","R$15.408,30"
26120533,Sorriso,Conservado,,RENAULT/SANDERO EXP 16HP,MT,RENAULT,SANDERO EXP 16HP,Carro,PRETA,SANDERO,"R$29.512,00","R$8.853,60","R$9.053,60"
26120536,Sorriso,Conservado,,VW/GOL 1.0,MT,VW,GOL 1.0,Carro,PRATA,GOL,"R$23.959,00","R$7.187,70","R$10.187,70"
26120540,Sorriso,Conservado,,VW/GOL 16V,MT,VW,GOL 16V,Carro,PRATA,GOL,"R$10.773,00","R$3.231,90",
26120548,Sorriso,Conservado,,GM/S10 ADVANTAGE D,MT,GM,S10 ADVANTAGE D,Carro,AMARELA,S10,"R$49.840,00","R$14.952,00","R$29.952,00"
26120549,Sorriso,Conservado,,HONDA/CB 300R,MT,HONDA,CB 300R,Moto,AMARELA,CB 300,"R$9.317,00","R$2.795,10","R$5.295,10"
26120551,Sorriso,Conservado,,HONDA/CG 125 FAN KS,MT,HONDA,CG 125 FAN KS,Moto,PRETA,CG 125,"R$5.648,00","R$1.694,40","R$3.694,40"
26120552,Sorriso,Conservado,,HONDA/CG 125 FAN KS,MT,HONDA,CG 125 FAN KS,Moto,PRETA,CG 125,"R$6.819,00","R$2.045,70","R$3.345,70"
26120553,Sorriso,Conservado,,HONDA/CG 125 FAN KS,MT,HONDA,CG 125 FAN KS,Moto,PRETA,CG 125,"R$6.999,00","R$2.099,70","R$2.199,70"
26120555,Sorriso,Conservado,,HONDA/CG 150 FAN ESI,MT,HONDA,CG 150 FAN ESI,Moto,VERMELHA,CG 150,"R$8.791,00","R$2.637,30","R$2.837,30"
26120556,Sorriso,Conservado,,HONDA/CG 150 FAN ESI,MT,HONDA,CG 150 FAN ESI,Moto,PRETA,CG 150,"R$9.168,00","R$2.750,40","R$3.050,40"
26120557,Sorriso,Conservado,,HONDA/CG 150 TITAN ES,MT,HONDA,CG 150 TITAN ES,Moto,PRETA,CG 150,"R$7.440,00","R$2.232,00","R$2.232,00"
26120559,Sorriso,Conservado,,HONDA/CG 150 TITAN ESD,MT,HONDA,CG 150 TITAN ESD,Moto,PRETA,CG 150,"R$8.190,00","R$2.457,00","R$2.457,00"
26120560,Sorriso,Conservado,,HONDA/CG150 FAN ESDI,MT,HONDA,CG150 FAN ESDI,Moto,VERMELHA,CG 150,"R$10.550,00","R$3.165,00","R$6.465,00"
26120561,Sorriso,Conservado,,HONDA/NXR150 BROS ESD,MT,HONDA,NXR150 BROS ESD,Moto,AMARELA,BROS,"R$8.476,00","R$2.542,80","R$3.242,80"
26120562,Sorriso,Conservado,,YAMAHA/FACTOR YBR125 E,MT,YAMAHA,FACTOR YBR125 E,Moto,VERMELHA,FACTOR,"R$5.639,00","R$1.691,70",
26120563,Sorriso,Conservado,,YAMAHA/FACTOR YBR125 E,MT,YAMAHA,FACTOR YBR125 E,Moto,VERMELHA,FACTOR,"R$6.235,00","R$1.870,50","R$2.170,50"
26120564,Sorriso,Conservado,,YAMAHA/FACTOR YBR125 ED,MT,YAMAHA,FACTOR YBR125 ED,Moto,PRETA,FACTOR,"R$6.382,00","R$1.914,60",
26120566,Sorriso,Conservado,,HONDA/BIZ 125 ES,MT,HONDA,BIZ 125 ES,Moto,CINZA,BIZ,"R$7.978,00","R$2.393,40","R$2.693,40"
26120567,Sorriso,Conservado,,HONDA/BIZ 125 ES,MT,HONDA,BIZ 125 ES,Moto,VERMELHA,BIZ,"R$10.154,00","R$3.046,20",
26120568,Sorriso,Conservado,,HONDA/BIZ 125 MAIS,MT,HONDA,BIZ 125 MAIS,Moto,PRETA,BIZ,"R$7.185,00","R$2.155,50","R$2.255,50"
26120569,Sorriso,Conservado,,HONDA/C100 BIZ,MT,HONDA,C100 BIZ,Moto,VERMELHA,BIZ,"R$5.775,00","R$1.732,50",
26120570,Sorriso,Conservado,,YAMAHA/T115 CRYPTON K,MT,YAMAHA,T115 CRYPTON K,Moto,BRANCA,CRYPTON,"R$6.453,00","R$1.935,90","R$1.935,90"
26120574,Sorriso,Conservado,,FIAT/STRADA FIRE FLEX,PR,FIAT,STRADA FIRE FLEX,Carro,PRATA,STRADA,"R$48.841,00","R$14.652,30","R$14.652,30"
26120575,Sorriso,Conservado,,HONDA/CG 125 TITAN KS,PR,HONDA,CG 125 TITAN KS,Moto,AZUL,CG 125,"R$5.725,00","R$1.717,50","R$1.717,50"
26220578,Nova Santa Helena,Conservado,,FORD/FIESTA SEDAN1.6FLEX,GO,FORD,FIESTA SEDAN1.6FLEX,Carro,PRATA,FIESTA,"R$22.512,00","R$6.753,60",
26220579,Nova Santa Helena,Conservado,,FIAT/SIENA ATTRACTIV 1.4,MG,FIAT,SIENA ATTRACTIV 1.4,Carro,CINZA,SIENA,"R$33.819,00","R$10.145,70","R$13.900,00"
26220582,Nova Santa Helena,Conservado,,CITROEN/PICASSO 16EXCFLX,MT,CITROEN,PICASSO 16EXCFLX,Carro,PRETA,PICASSO,"R$15.012,00","R$4.503,60","R$4.503,60"
26220585,Nova Santa Helena,Conservado,,HONDA/CIVIC LXL,MT,HONDA,CIVIC LXL,Carro,PRATA,CIVIC,"R$25.780,00","R$7.734,00","R$7.734,00"
26220591,Nova Santa Helena,Conservado,,CHEVROLET/S10 LS FS2,MT,GM,S10 LS FS2,Carro,PRETA,S10,"R$84.280,00","R$25.284,00","R$42.484,00"
26220592,Nova Santa Helena,Conservado,,FIAT/STRADA ADVENT FLEX,MT,FIAT,STRADA ADVENT FLEX,Carro,BRANCA,STRADA,"R$39.800,00","R$11.940,00","R$11.940,00"
26220593,Nova Santa Helena,Conservado,,FORD/COURIER 1.6 L,MT,FORD,COURIER 1.6 L,Carro,PRATA,COURIER,"R$20.002,00","R$6.000,60",
26220596,Nova Santa Helena,Conservado,,HONDA/CG 125 FAN,MT,HONDA,CG 125 FAN,Moto,AZUL,CG 125,"R$5.507,00","R$1.652,10","R$1.652,10"
26220598,Nova Santa Helena,Conservado,,HONDA/CG 150 TITAN ESD,MT,HONDA,CG 150 TITAN ESD,Moto,BRANCA,CG 150,"R$11.018,00","R$3.305,40","R$5.200,00"
26220600,Nova Santa Helena,Conservado,,HONDA/NXR150 BROS ES,MT,HONDA,NXR150 BROS ES,Moto,BRANCA,BROS,"R$8.472,00","R$2.541,60",
26220601,Nova Santa Helena,Conservado,,HONDA/XRE 300,MT,HONDA,XRE 300,Moto,PRETA,XRE 300,"R$15.913,00","R$4.773,90","R$7.873,90"
26220603,Nova Santa Helena,Conservado,,YAMAHA/YBR 125E,MT,YAMAHA,YBR 125E,Moto,BRANCA,YBR 125,"R$5.084,00","R$1.525,20",
26220604,Nova Santa Helena,Conservado,,FIAT/STRADA WORKING,PR,FIAT,STRADA WORKING,Carro,PRETA,STRADA,"R$61.570,00","R$18.471,00","R$24.471,00"
26220605,Nova Santa Helena,Conservado,,RENAULT/LOGAN AUT 1016V,SC,RENAULT,LOGAN AUT 1016V,Carro,BRANCA,LOGAN,"R$19.846,00","R$5.953,80",
27120609,Barra do Garças,Conservado,,FIAT/UNO MILLE FIRE FLEX,GO,FIAT,UNO MILLE FIRE FLEX,Carro,PRETA,UNO,"R$17.990,00","R$5.397,00","R$10.197,00"
27120610,Barra do Garças,Conservado,,VW/GOL SPECIAL,GO,VW,GOL SPECIAL,Carro,PRETA,GOL,"R$13.045,00","R$3.913,50",
27120611,Barra do Garças,Conservado,,HONDA/CG 125 FAN,GO,HONDA,CG 125 FAN,Moto,PRETA,CG 125,"R$5.369,00","R$1.610,70","R$1.610,70"
27120612,Barra do Garças,Conservado,,HONDA/CG 125 TITAN ES,GO,HONDA,CG 125 TITAN ES,Moto,PRETA,CG 125,"R$6.619,00","R$1.985,70",
27120616,Barra do Garças,Conservado,,M.BENZ/710,MT,M.BENZ,710,Caminhão,PRETA,710,"R$138.444,00","R$41.533,20","R$89.000,00"
27120617,Barra do Garças,Conservado,,FIAT/STRADA ENDURANCE CS,MT,FIAT,STRADA ENDURANCE CS,Carro,PRETA,STRADA,"R$79.905,00","R$23.971,50","R$50.400,00"
27120618,Barra do Garças,Conservado,,HONDA/CG 150 FAN ESI,MT,HONDA,CG 150 FAN ESI,Moto,PRETA,CG 150,"R$8.791,00","R$2.637,30","R$3.737,30"
27120619,Barra do Garças,Conservado,,HONDA/CG 150 TITAN ES,MT,HONDA,CG 150 TITAN ES,Moto,PRETA,CG 150,"R$7.057,00","R$2.117,10","R$2.417,10"
27120620,Barra do Garças,Conservado,,HONDA/CG 150 TITAN ES,MT,HONDA,CG 150 TITAN ES,Moto,PRETA,CG 150,"R$7.626,00","R$2.287,80",
27120621,Barra do Garças,Conservado,,HONDA/CG 160 FAN ESDI,MT,HONDA,CG 160 FAN ESDI,Moto,PRETA,CG 160,"R$11.969,00","R$3.590,70","R$4.990,70"
27120622,Barra do Garças,Conservado,,HONDA/CG150 FAN ESDI,MT,HONDA,CG150 FAN ESDI,Moto,PRETA,CG 150,"R$10.292,00","R$3.087,60","R$4.387,60"
